game-design.game-feel.combat | ~ | How attacking and being hit feels: impact, weight, feedback.
game-design.enemy-design.bosses-are-a-chore | - | A boss takes too long or has too many phases to be enjoyable. Distinct from `.forgettable-specials`, which is 
marketing.reputation.falls-short-of-the-studios-earlier-games | - | The reviewer measures the game against **earlier games by the same studio, or by the publisher whose name is o
marketing.reputation.lives-up-to-the-studios-earlier-games | + | The reviewer says the game holds the standard of the studio's earlier work. **Inverse of `.falls-short-of-the-
community.developer-communication.went-silent-after-a-bad-launch | - | The studio has said nothing at all since a launch that went badly. **Distinct from `.ignores-feedback`**, whic
community.developer-communication.admitted-the-game-was-bad | - | Someone responsible for the game — the studio, or the company that owns it — publicly said the game was bad, o
game-design.power-balance.levelling-up-changes-nothing | - | Enemies scale with the player, so growing stronger buys nothing. **Distinct from `.challenge-outgrows-the-play
game-design.co-op-design.more-players-makes-it-trivial | - | Bringing more people removes the challenge, because the game does not raise the difficulty to match. **Distinc
engineering.matchmaking.no-public-matchmaking | - | There is no way to be matched with strangers at all: the only route into a session is a private invite. **Ever
publishing.sale-dependency.play-it-on-the-subscription-instead | - | The reviewer sends buyers to a subscription service rather than the store: play it, do not own it. **Distinct 
game-design.level-design.more-than-one-way-in | + | A place can be entered or solved more than one way, so the player picks the route. **Distinct from `.well-buil
marketing.reputation.only-the-studio-name-is-the-same | - | The reviewer says the people who made the studio's earlier games have left, so the name on the box no longer m
game-design.level-design.only-one-way-to-play-it | - | Every situation has the same answer, so the player never picks an approach. **Inverse of `.more-than-one-way-i
community.developer-communication.talks-but-never-about-the-problem | - | The studio keeps posting — social media, quizzes, boilerplate support replies — and says nothing about the thi
publishing.price.never-discounted-despite-its-state | - | The list price has not moved even though the game is unfinished or broken, and the reviewer reads that refusal
game-design.co-op-design.only-the-host-keeps-the-progress | - | Playing in someone else's session advances the host's campaign and not the guest's, so a guest's world progres
game-design.co-op-design.cannot-give-a-teammate-your-spare | - | There is no way to hand over or drop an item, so a pickup a teammate needs and you do not is sold or wasted. *
live-ops.abandonment.the-owner-pulled-the-plug | - | The reviewer names the company that owns the studio as the party that ended support, or reports the studio bei
game-design.game-feel.controls.aim-sensitivity-cannot-be-tuned | - | The aim settings are missing or too coarse to use — no aim-down-sights multiplier, a slider that only moves in
marketing.expectation-management.low-expectations-made-it-better | + | The reviewer says the game's bad reputation set the bar so low that the game cleared it, and names that as why
game-design.punishment-model.dying-costs-you-money | - | Dying charges the player currency — a revive fee, a percentage of what they carry. **Every other mode here pri
community.player-conduct.players-teach-each-other-the-fix | + | Reviewers use the review itself to pass on a workaround — a launch trick, a setting to disable — so the next b
community.player-conduct.attacked-for-writing-the-review | - | The reviewer is mocked or harassed in their own review's comments for the verdict they gave. **Distinct from `
game-design.difficulty-tuning.the-final-fight-is-a-pushover | - | The encounter the game has been building towards is easier than what came before it, so the climax lands as an
game-design.role-design.the-abilities-are-no-fun-to-use | - | The characters' own powers are dull to press, across the roster rather than in one case. **Distinct from `.rol
engineering.stability.one-setting-causes-the-crashes | - | The player finds a **single graphics or engine option** behind the crashing, and turning it off stops it. **Di
review.calls-it-average-rather-than-good-or-bad | ~ | The reviewer's whole verdict is that the game is **middling** — *"not bad, not good"*, *"mid"*, *"aggressively
production.scope-mismatch.the-potential-is-still-there | + | The reviewer says the design underneath works and what is missing is content that can still arrive — *"all the
